Id,x_m,y_m,Lat,Lon
397,2577046.212,-4017617.877,-33.91666667,23.15
398,2578901.537,-3993051.166,-33.73333333,23.16666667
399,2577046.212,-4022090.222,-33.95,23.15
400,2580756.861,-3993051.166,-33.73333333,23.18333333
401,2580756.861,-4004211.324,-33.81666667,23.18333333
402,2580756.861,-4013147.28,-33.88333333,23.18333333
403,2584467.512,-3977445.136,-33.61666667,23.21666667
404,2584467.512,-4028802.026,-34,23.21666667
405,2588178.161,-4017617.877,-33.91666667,23.25
406,2591888.81,-3986360.274,-33.68333333,23.28333333
407,2591888.81,-3993051.166,-33.73333333,23.28333333
408,2597454.785,-3993051.166,-33.73333333,23.33333333
409,2601165.435,-3995282.33,-33.75,23.36666667
410,2606731.41,-3993051.166,-33.73333333,23.41666667
411,2606731.41,-4019853.83,-33.93333333,23.41666667
412,2614152.708,-3995282.33,-33.75,23.48333333
413,2616008.034,-4028802.026,-34,23.5
414,2617863.359,-4026564.319,-33.98333333,23.51666667
415,2625284.658,-3999745.958,-33.78333333,23.58333333
416,2627139.983,-3999745.958,-33.78333333,23.6
417,2627139.983,-4001978.424,-33.8,23.6
418,2628995.308,-3999745.958,-33.78333333,23.61666667
419,2630850.632,-4022090.222,-33.95,23.63333333
420,2640127.257,-3964085.347,-33.51666667,23.71666667
421,2643837.906,-3970763.308,-33.56666667,23.75
422,2643837.906,-4001978.424,-33.8,23.75
423,2647548.556,-4024327.052,-33.96666667,23.78333333
424,2654969.855,-4004211.324,-33.81666667,23.85
425,2654969.855,-4010912.638,-33.86666667,23.85
426,2656825.181,-4004211.324,-33.81666667,23.86666667
427,2656825.181,-4006444.659,-33.83333333,23.86666667
428,2658680.505,-4006444.659,-33.83333333,23.88333333
429,2658680.505,-4024327.052,-33.96666667,23.88333333
430,2664246.479,-4022090.222,-33.95,23.93333333
431,2666101.804,-4028802.026,-34,23.95
432,2667957.13,-3993051.166,-33.73333333,23.96666667
433,2682799.728,-3972990.153,-33.58333333,24.1
434,2684655.053,-4015382.36,-33.9,24.11666667
435,2684655.053,-4026564.319,-33.98333333,24.11666667
436,2690221.028,-3972990.153,-33.58333333,24.16666667
437,2692076.352,-4017617.877,-33.91666667,24.18333333
438,2697642.327,-4004211.324,-33.81666667,24.23333333
439,2699497.652,-4006444.659,-33.83333333,24.25
440,2703208.301,-4015382.36,-33.9,24.28333333
441,2705063.626,-4022090.222,-33.95,24.3
442,2706918.951,-4028802.026,-34,24.31666667
443,2714340.25,-3984130.843,-33.66666667,24.38333333
444,2725472.199,-4017617.877,-33.91666667,24.48333333
445,2732893.499,-3970763.308,-33.56666667,24.55
446,2740314.799,-3995282.33,-33.75,24.61666667
447,2749591.423,-3993051.166,-33.73333333,24.7
448,2749591.423,-4008678.43,-33.85,24.7
449,2747736.097,-4013147.28,-33.88333333,24.68333333
450,2762578.697,-3997513.927,-33.76666667,24.81666667
451,2769999.996,-4004211.324,-33.81666667,24.88333333
452,2766289.346,-3990820.437,-33.71666667,24.85
453,2764434.021,-3999745.958,-33.78333333,24.83333333
454,2764434.021,-4024327.052,-33.96666667,24.83333333
455,2764434.021,-3990820.437,-33.71666667,24.83333333
456,2769999.996,-4006444.659,-33.83333333,24.88333333
457,2769999.996,-4008678.43,-33.85,24.88333333
458,2775565.97,-4017617.877,-33.91666667,24.93333333
459,2777421.295,-4017617.877,-33.91666667,24.95
460,2779276.621,-3966310.904,-33.53333333,24.96666667
461,2782987.27,-3997513.927,-33.76666667,25
462,2784842.595,-3966310.904,-33.53333333,25.01666667
463,2784842.595,-3984130.843,-33.66666667,25.01666667
464,2784842.595,-3999745.958,-33.78333333,25.01666667
465,2786697.919,-4010912.638,-33.86666667,25.03333333
466,2788553.244,-3986360.274,-33.68333333,25.05
467,2792263.894,-3964085.347,-33.51666667,25.08333333
468,2792263.894,-4001978.424,-33.8,25.08333333
469,2797829.868,-4008678.43,-33.85,25.13333333
470,2803395.843,-4004211.324,-33.81666667,25.18333333
471,2807106.493,-4008678.43,-33.85,25.21666667
472,2808961.817,-3995282.33,-33.75,25.23333333
473,2808961.817,-4017617.877,-33.91666667,25.23333333
474,2807106.493,-3966310.904,-33.53333333,25.21666667
475,2810817.143,-3988590.139,-33.7,25.25
476,2810817.143,-4015382.36,-33.9,25.25
477,2816383.117,-3990820.437,-33.71666667,25.3
478,2818238.442,-3997513.927,-33.76666667,25.31666667
479,2820093.766,-3986360.274,-33.68333333,25.33333333
480,2820093.766,-3995282.33,-33.75,25.33333333
481,2821949.092,-4017617.877,-33.91666667,25.35
482,2823804.417,-4026564.319,-33.98333333,25.36666667
483,2827515.066,-3995282.33,-33.75,25.4
484,2827515.066,-3997513.927,-33.76666667,25.4
485,2827515.066,-3999745.958,-33.78333333,25.4
486,2829370.391,-4024327.052,-33.96666667,25.41666667
487,2831225.715,-3988590.139,-33.7,25.43333333
488,2831225.715,-3999745.958,-33.78333333,25.43333333
489,2834936.366,-3981901.842,-33.65,25.46666667
490,2836791.69,-4001978.424,-33.8,25.48333333
491,2844212.99,-4028802.026,-34,25.55
492,2846068.315,-4019853.83,-33.93333333,25.56666667
493,2847923.639,-4017617.877,-33.91666667,25.58333333
494,2847923.639,-4022090.222,-33.95,25.58333333
495,2847923.639,-4026564.319,-33.98333333,25.58333333
496,2849778.964,-4026564.319,-33.98333333,25.6
497,2851634.29,-4026564.319,-33.98333333,25.61666667
498,2853489.614,-4024327.052,-33.96666667,25.63333333
499,2857200.264,-3964085.347,-33.51666667,25.66666667
500,2859055.588,-4028802.026,-34,25.68333333
501,2859055.588,-4013147.28,-33.88333333,25.68333333
502,2860910.913,-3966310.904,-33.53333333,25.7
503,2860910.913,-3970763.308,-33.56666667,25.7
504,2860910.913,-3968536.891,-33.55,25.7
505,2881319.486,-3972990.153,-33.58333333,25.88333333
506,2881319.486,-3981901.842,-33.65,25.88333333
507,2877608.837,-3990820.437,-33.71666667,25.85
508,2894306.761,-3984130.843,-33.66666667,26
509,2927702.608,-3975217.429,-33.6,26.3
510,2925847.283,-4008678.43,-33.85,26.28333333
511,2931413.257,-3970763.308,-33.56666667,26.33333333
512,2935123.908,-3988590.139,-33.7,26.36666667
513,2940689.882,-3979673.273,-33.63333333,26.41666667
514,2940689.882,-3981901.842,-33.65,26.41666667
515,2944400.531,-3995282.33,-33.75,26.45
516,2953677.155,-3981901.842,-33.65,26.53333333
517,2968519.755,-3988590.139,-33.7,26.66666667
518,2974085.729,-3968536.891,-33.55,26.71666667
519,2985217.678,-3964085.347,-33.51666667,26.81666667
520,2994494.302,-3972990.153,-33.58333333,26.9
521,3001915.602,-3964085.347,-33.51666667,26.96666667
522,3009336.901,-3964085.347,-33.51666667,27.03333333
523,3016758.2,-3966310.904,-33.53333333,27.1
524,2059410.58,-3906370.3,-33.08333333,18.5
