Year,Lat,Lon,Sirex_Presence
2013,-23.008,30.24404,No Sirex
2013,-23.002694,30.076833,No Sirex
2013,-23.01903,30.20792,No Sirex
2013,-23.01864,30.17594,No Sirex
2013,-22.93625,30.339444,No Sirex
2013,-23.04253,30.26858,No Sirex
2013,-22.936245,30.341934,No Sirex
2013,-23.021222,30.309278,No Sirex
2013,-23.75181,30.00701,No Sirex
2013,-23.795139,29.984333,No Sirex
2013,-23.806833,30.030222,No Sirex
2013,-23.827194,29.962694,No Sirex
2013,-23.849611,23.994083,No Sirex
2013,-23.875333,29.973472,No Sirex
2013,-23.949546,30.117782,No Sirex
2013,-23.956361,30.114917,No Sirex
2013,-23.98604,30.09384,No Sirex
2013,-23.99352,30.12789,No Sirex
2013,-24.68698,30.83311,No Sirex
2013,-24.703548,30.841167,No Sirex
2013,-24.71235,30.819,No Sirex
2013,-24.76764,30.85742,No Sirex
2013,-24.78509,30.885,No Sirex
2013,-25.324083,30.864917,No Sirex
2013,-24.81431,30.84587,No Sirex
2013,-24.840908,30.872602,No Sirex
2013,-24.844389,30.8005,No Sirex
2013,-24.86797,30.73274,No Sirex
2013,-24.88618,30.69965,No Sirex
2013,-24.91344,30.704716,No Sirex
2013,-24.92224,30.6755,No Sirex
2013,-24.92959,30.69293,No Sirex
2013,-24.93936,30.75575,No Sirex
2013,-24.93544,30.92406,No Sirex
2013,-24.94359,30.75921,No Sirex
2013,-24.95559,30.78122,No Sirex
2013,-24.95761,30.826533,No Sirex
2013,-24.97877,30.82849,No Sirex
2013,-24.98508,30.73255,No Sirex
2013,-24.99909,30.7296,No Sirex
2013,-25.002614,30.789645,No Sirex
2013,-25.02042,30.82495,No Sirex
2013,-25.018889,30.811667,No Sirex
2013,-25.03227,30.92989,No Sirex
2013,-25.03398,30.85783,No Sirex
2013,-25.035097,30.77987,No Sirex
2013,-25.039432,30.900094,No Sirex
2013,-25.05017,30.86908,No Sirex
2013,-25.05388,30.8167,No Sirex
2013,-25.055895,30.799033,No Sirex
2013,-25.07833,30.76405,No Sirex
2013,-25.08154,30.89241,No Sirex
2013,-25.094535,30.818641,No Sirex
2013,-25.099657,30.704367,No Sirex
2013,-25.242219,30.736278,No Sirex
2013,-25.043778,30.931528,No Sirex
2013,-25.1132,30.64837,No Sirex
2013,-25.115972,31.022722,No Sirex
2013,-25.14805,30.98356,No Sirex
2013,-25.16876,30.65749,No Sirex
2013,-25.182927,30.735457,No Sirex
2013,-25.1918,30.68593,No Sirex
2013,-25.19048,30.94635,No Sirex
2013,-25.19937,30.72642,No Sirex
2013,-25.20058,30.60646,No Sirex
2013,-25.213639,30.540778,No Sirex
2013,-25.20291,30.97713,No Sirex
2013,-25.202861,30.571139,No Sirex
2013,-25.2061,30.75758,No Sirex
2013,-25.215967,30.936265,No Sirex
2013,-25.214296,30.909945,No Sirex
2013,-25.223425,30.62813,No Sirex
2013,-25.23473,30.90604,No Sirex
2013,-25.243861,30.471583,No Sirex
2013,-25.239028,30.483222,No Sirex
2013,-25.24949,30.85855,No Sirex
2013,-25.255917,30.527194,No Sirex
2013,-25.25865,30.59647,No Sirex
2013,-25.221065,30.718746,No Sirex
2013,-25.260639,30.621639,No Sirex
2013,-25.258811,30.496232,No Sirex
2013,-25.27179,30.52174,No Sirex
2013,-25.27398,30.63447,No Sirex
2013,-25.27536,30.56072,No Sirex
2013,-25.27308,30.54875,No Sirex
2013,-25.284,30.98748,No Sirex
2013,-25.28631,30.55211,No Sirex
2013,-25.29225,30.600662,No Sirex
2013,-25.253303,30.888863,No Sirex
2013,-25.29756,30.85386,No Sirex
2013,-25.325832,30.655797,No Sirex
2013,-25.337138,30.539045,No Sirex
2013,-25.31821,30.512472,No Sirex
2013,-25.344694,30.536194,No Sirex
2013,-25.346701,30.520302,No Sirex
2013,-25.611585,30.719326,No Sirex
2013,-25.497541,30.521325,No Sirex
2013,-25.50725,30.73255,No Sirex
2013,-25.703472,30.558611,No Sirex
2013,-25.51735,30.53783,No Sirex
2013,-25.861889,30.449278,No Sirex
2013,-25.58274,30.71769,No Sirex
2013,-25.611192,30.744948,No Sirex
2013,-25.636056,30.769667,No Sirex
2013,-25.64149,30.7229,No Sirex
2013,-25.63682,30.7784,No Sirex
2013,-25.651998,30.746232,No Sirex
2013,-25.65867,30.775,No Sirex
2013,-25.726815,29.674464,No Sirex
2013,-25.75993,30.82469,No Sirex
2013,-25.7676,30.75789,No Sirex
2013,-25.770496,30.775959,No Sirex
2013,-25.786056,30.747972,No Sirex
2013,-25.788742,30.819091,No Sirex
2013,-25.791723,30.764509,No Sirex
2013,-25.803389,30.810917,No Sirex
2013,-25.80819,30.82636,No Sirex
2013,-25.816278,30.101389,No Sirex
2013,-25.81788,30.783269,No Sirex
2013,-25.838346,30.837301,No Sirex
2013,-25.854528,30.009389,No Sirex
2013,-25.895722,30.957917,No Sirex
2013,-25.863497,30.868277,No Sirex
2013,-25.8766,30.899012,No Sirex
2013,-25.90371,30.90976,No Sirex
2013,-25.9054,31.10233,No Sirex
2013,-25.915135,30.88233,No Sirex
2013,-25.92929,30.93582,No Sirex
2013,-25.75528,30.60041,No Sirex
2013,-26.067251,30.435743,No Sirex
2013,-26.141599,30.428689,No Sirex
2013,-26.14484,30.306847,No Sirex
2013,-26.178797,30.462331,No Sirex
2013,-26.205929,30.527169,No Sirex
2013,-26.211072,30.493739,No Sirex
2013,-26.270299,30.564547,No Sirex
2013,-26.271731,30.638167,No Sirex
2013,-26.274224,30.584411,No Sirex
2013,-26.311011,30.703264,No Sirex
2013,-26.420767,30.763857,No Sirex
2013,-26.453106,30.750328,No Sirex
2013,-26.524935,30.708064,No Sirex
2013,-26.54699,30.76451,No Sirex
2013,-26.62641,30.695465,No Sirex
2013,-26.644149,30.754571,No Sirex
