Id,x_m,y_m
515,2944400.531,-3995282.33
516,2953677.155,-3981901.842
517,2968519.755,-3988590.139
518,2974085.729,-3968536.891
519,2985217.678,-3964085.347
520,2994494.302,-3972990.153
521,3001915.602,-3964085.347
522,3009336.901,-3964085.347
523,3016758.2,-3966310.904
524,2059410.58,-3906370.3
525,2068687.204,-3941853.291
526,2077963.829,-3915230.922
527,2079819.153,-3897516.394
528,2077963.829,-3897516.394
529,2079819.153,-3915230.922
530,2081674.478,-3932972.394
531,2081674.478,-3944074.578
532,2085385.127,-3955187.399
533,2092806.427,-3946296.289
534,2096517.076,-3906370.3
535,2096517.076,-3957411.245
536,2100227.727,-3941853.291
537,2102083.051,-3944074.578
538,2102083.051,-3948518.427
539,2103938.376,-3946296.289
540,2105793.701,-3952963.981
541,2111359.676,-3955187.399
542,2115070.325,-3897516.394
543,2118780.974,-3930753.231
544,2116925.65,-3897516.394
545,2116925.65,-3919663.756
546,2118780.974,-3915230.922
547,2118780.974,-3935191.982
548,2128057.599,-3930753.231
549,2128057.599,-3941853.291
550,2131768.249,-3932972.394
551,2129912.923,-3946296.289
552,2131768.249,-3928534.49
553,2133623.574,-3930753.231
554,2131768.249,-3948518.427
555,2133623.574,-3955187.399
556,2135478.898,-3917447.129
557,2133623.574,-3919663.756
558,2133623.574,-3921880.807
559,2133623.574,-3944074.578
560,2135478.898,-3952963.981
561,2137334.223,-3950740.992
562,2137334.223,-3955187.399
563,2137334.223,-3957411.245
564,2137334.223,-3959635.516
565,2139189.548,-3921880.807
566,2141044.873,-3948518.427
567,2141044.873,-3950740.992
568,2148466.172,-3935191.982
569,2148466.172,-3941853.291
570,2150321.498,-3944074.578
571,2152176.822,-3908584.825
572,2152176.822,-3919663.756
573,2152176.822,-3921880.807
574,2152176.822,-3924098.279
575,2152176.822,-3935191.982
576,2152176.822,-3941853.291
577,2154032.147,-3941853.291
578,2155887.472,-3939632.43
579,2157742.796,-3915230.922
580,2163308.771,-3910799.771
581,2165164.096,-3906370.3
582,2165164.096,-3915230.922
583,2159598.121,-3944074.578
584,2172585.396,-3924098.279
585,2180006.694,-3937411.994
586,2178151.37,-3939632.43
587,2181862.02,-3959635.516
588,2183717.345,-3926316.173
589,2183717.345,-3937411.994
590,2183717.345,-3939632.43
591,2185572.669,-3959635.516
592,2189283.319,-3926316.173
593,2189283.319,-3957411.245
594,2194849.294,-3959635.516
595,2189283.319,-3959635.516
596,2202270.592,-3939632.43
597,2205981.243,-3910799.771
598,2205981.243,-3952963.981
599,2207836.567,-3952963.981
600,2211547.217,-3937411.994
601,2319156.058,-3961860.217
602,2335853.981,-3935191.982
603,2337709.307,-3932972.394
604,2339564.632,-3959635.516
605,2341419.956,-3959635.516
606,2345130.606,-3948518.427
607,2397079.701,-3952963.981
608,2397079.701,-3955187.399
609,2406356.326,-3950740.992
610,2417488.275,-3955187.399
611,2415632.95,-3959635.516
612,2415632.95,-3961860.217
613,2423054.25,-3930753.231
614,2424909.574,-3955187.399
615,2428620.225,-3955187.399
616,2437896.848,-3952963.981
617,2441607.498,-3930753.231
618,2452739.447,-3924098.279
619,2454594.772,-3937411.994
620,2454594.772,-3941853.291
621,2456450.097,-3948518.427
622,2475003.345,-3908584.825
623,2473148.021,-3946296.289
624,2473148.021,-3948518.427
625,2476858.67,-3932972.394
626,2475003.345,-3959635.516
627,2476858.67,-3959635.516
628,2484279.97,-3930753.231
629,2484279.97,-3948518.427
630,2489845.944,-3950740.992
631,2508399.192,-3939632.43
632,2508399.192,-3959635.516
633,2510254.517,-3919663.756
634,2510254.517,-3924098.279
635,2506543.868,-3932972.394
636,2512109.843,-3941853.291
637,2523241.792,-3921880.807
638,2526952.441,-3961860.217
639,2543650.365,-3959635.516
640,2551071.664,-3959635.516
641,2558492.963,-3959635.516
642,2565914.263,-3957411.245
643,2580756.861,-3955187.399
644,2603020.759,-3957411.245
645,2727327.524,-3946296.289
646,2731038.174,-3950740.992
647,2731038.174,-3957411.245
648,2736604.148,-3950740.992
649,2736604.148,-3959635.516
650,2747736.097,-3955187.399
651,2758868.046,-3959635.516
652,2760723.372,-3944074.578
653,2764434.021,-3928534.49
654,2764434.021,-3935191.982
655,2769999.996,-3939632.43
656,2775565.97,-3959635.516
657,2794119.219,-3955187.399
658,2799685.193,-3948518.427
659,2801540.519,-3946296.289
660,2803395.843,-3950740.992
661,2820093.766,-3948518.427
662,2821949.092,-3948518.427
663,2825659.741,-3917447.129
664,2831225.715,-3906370.3
665,2829370.391,-3906370.3
666,2834936.366,-3906370.3
667,2833081.041,-3952963.981
668,2831225.715,-3952963.981
669,2844212.99,-3948518.427
670,2846068.315,-3935191.982
671,2855344.939,-3964085.347
672,2859055.588,-3959635.516
673,2864621.563,-3941853.291
674,2866476.888,-3955187.399
675,2870187.537,-3939632.43
676,2879464.162,-3950740.992
677,2879464.162,-3955187.399
678,2881319.486,-3926316.173
679,2886885.461,-3961860.217
680,2899872.735,-3944074.578
681,2903583.384,-3937411.994
682,2905438.71,-3928534.49
683,2911004.684,-3921880.807
684,2918425.984,-3904156.196
685,2920281.308,-3948518.427
686,2927702.608,-3908584.825
687,2927702.608,-3944074.578
688,2931413.257,-3955187.399
689,2936979.232,-3937411.994
690,2942545.206,-3932972.394
691,2949966.506,-3915230.922
692,2949966.506,-3941853.291
693,2953677.155,-3932972.394
694,2953677.155,-3935191.982
695,2957387.806,-3915230.922
696,2957387.806,-3935191.982
697,2961098.455,-3917447.129
698,2962953.78,-3908584.825
699,2962953.78,-3913015.135
700,2966664.43,-3939632.43
701,2975941.054,-3935191.982
702,2974085.729,-3908584.825
703,2977796.379,-3952963.981
704,2979651.704,-3904156.196
705,2979651.704,-3932972.394
706,2985217.678,-3961860.217
707,2987073.003,-3917447.129
708,2987073.003,-3941853.291
709,2988928.328,-3932972.394
710,2992638.977,-3897516.394
711,2996349.628,-3919663.756
712,2994494.302,-3935191.982
713,2996349.628,-3941853.291
714,3000060.277,-3906370.3
715,3000060.277,-3901942.509
716,3003770.926,-3957411.245
717,3007481.577,-3948518.427
718,3016758.2,-3899729.242
719,3018613.526,-3921880.807
720,3026034.824,-3957411.245
721,3027890.15,-3904156.196
722,3035311.449,-3917447.129
723,3042732.748,-3913015.135
724,3037166.773,-3919663.756
725,3040877.424,-3917447.129
726,3042732.748,-3937411.994
727,3044588.073,-3913015.135
728,3048298.723,-3917447.129
729,3046443.398,-3924098.279
730,3046443.398,-3928534.49
731,3064996.646,-3924098.279
732,3072417.946,-3915230.922
733,3077983.92,-3901942.509
734,3081694.57,-3910799.771
735,3092826.519,-3899729.242
736,3094681.844,-3897516.394
737,3098392.493,-3899729.242
738,3105813.793,-3897516.394
739,3107669.118,-3899729.242
740,3107669.118,-3897516.394
741,2051989.28,-3862167.465
742,2051989.28,-3864373.663
743,2063121.229,-3886458.417
744,2076108.503,-3846735.618
745,2077963.829,-3842330.217
746,2081674.478,-3851142.661
747,2081674.478,-3857756.308
748,2083529.803,-3870994.737
749,2087240.452,-3842330.217
750,2089095.778,-3884248.074
751,2102083.051,-3853346.797
752,2102083.051,-3868787.298
753,2107649.025,-3866580.273
754,2107649.025,-3868787.298
755,2113215,-3837926.456
756,2116925.65,-3840128.131
757,2120636.3,-3851142.661
758,2122491.625,-3886458.417
