Year,Lat,Lon,Lepto_Y_N
2019,-31.40427,28.757348,Leptocybe
2019,-31.410117,28.753974,Leptocybe
2019,-31.410459,28.756924,Leptocybe
2019,-31.413148,28.759891,Leptocybe
2019,-31.41207221,28.72687945,Leptocybe
2019,-28.10278457,32.41001404,Leptocybe
2019,-29.63153246,30.10879961,Leptocybe
2019,-27.5342522,30.53973672,Leptocybe
2019,-29.32541539,30.58216664,Leptocybe
2019,-26.52514602,30.71042063,Leptocybe
2019,-26.64042272,30.77081432,Leptocybe
2019,-30.13120284,29.9386847,Leptocybe
2019,-23.78222222,30.10611111,Leptocybe
2019,-23.78722222,30.05833333,Leptocybe
2019,-30.3996202,30.39796307,Leptocybe
2019,-28.57600396,32.22836936,Leptocybe
2019,-29.917022,29.826235,Leptocybe
2019,-29.923993,29.763153,Leptocybe
2019,-29.87663,29.734948,Leptocybe
2019,-27.3080854,30.70176552,Leptocybe
2019,-29.26683168,30.50075607,Leptocybe
2019,-29.4602994,30.24908466,Leptocybe
2019,-29.46054711,30.21139123,Leptocybe
2019,-29.04629214,30.99086446,Leptocybe
2019,-25.73096172,30.69155054,Leptocybe
2019,-27.11938072,30.90966603,Leptocybe
2019,-27.14255546,30.88742723,Leptocybe
2019,-27.55508242,30.79648507,Leptocybe
2019,-30.362476,29.838294,Leptocybe
2019,-30.281706,29.819522,Leptocybe
2019,-23.90694444,30.12388889,Leptocybe
2019,-23.88277778,30.05527778,Leptocybe
2019,-26.77277594,30.56770009,Leptocybe
2019,-27.02282728,30.61119774,Leptocybe
2019,-29.16336719,30.43855664,Leptocybe
2019,-29.10245826,30.49519757,Leptocybe
2019,-29.20630468,30.42959574,Leptocybe
2019,-29.64508421,29.73329989,Leptocybe
2019,-29.88047778,30.37251476,Leptocybe
2019,-26.93348659,30.58698338,Leptocybe
2019,-30.592937,29.692859,Leptocybe
2019,-30.557154,29.698969,Leptocybe
2019,-30.572111,29.744331,Leptocybe
2019,-30.624913,29.636844,Leptocybe
2019,-30.514022,29.743774,Leptocybe
